title,current_price,former_price,discount
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,240000,800000,70%
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,505950,770900,34%
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro,125000,800000,37%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,770900,37%
Hp EliteBook 840 G6 Touchscreen Intel Core I5 16GB RAM/512GB SSD/Backlit Keyboard/FP Win 11 Pro,484000,799000,71%
Ace Elec ACE 14.1'' Intel Celeron J4105 4Core CPU 16GB+128GB Laptop,235000,150000,17%
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,125000,180000,17%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ BAG AND LIGHT FOR Keyboard,160000,650000,30%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,150000,270000,52%
Hp EliteBook 840 G6 Touchscreen Intel Core I5 Backlit Keyboard 16GB RAM/256 SSD Win 11 Pro,455000,850000,39%
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,129000,250000,20%
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,515000,200000,25%
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",200000,600000,64%
Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse,150000,220000,12%
Hp ProBook11 X360-Intel Celeron 512GB 4GBRAM Windows10+MOUSE,215000,245000,18%
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,193000,1399000,80%
Hp ProBook 11 X360 Intel Celeron 256GB SSD 4GB RAM Touchscreen Win10,200000,500000,42%
Ace Elec ACE 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB Laptop,275000,570000,10%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro + 32GB FLASH DRIVE,130000,398450,3%
"DELL Latitude 3190, INTEL CELERON, 4GB RAM, 128ssd, WINDOWS 10 + FLASH LIGHT",290000,279422,26%
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Laptop+BAG,515000,270000,26%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,385000,1699000,80%
"Hp Refurbished HP EliteBook 840G1 14"" Intel I5 4th Gen, 8-500GB",206979,770900,34%
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO,200000,295000,37%
Ace Elec ACE 15.6'' Intel Celeron N5095A 4Core CPU 16GB+512GB Laptop Black,339000,900000,44%
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10,120000,900000,52%
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,505950,550000,15%
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,185000,965100,52%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit,505000,200000,35%
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD - 8GB RAM -Backlit-Keypad - Touch Windows 11 PRO + PEN,430000,300000,20%
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+pouch Win10,124000,300000,3%
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,465000,680000,23%
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,465000,890000,21%
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse,485800,350000,14%
